gemeente,totaal_inwoners,totaal_mannen,totaal_vrouwen,totaal_0_15,totaal_15_25,totaal_25_45,totaal_45_65,totaal_65_plus,gemiddelde_woz,pct_eengezinswoning,totaal_koopwoningen,totaal_huurwoningen,gemiddeld_inkomen,totaal_laag_inkomen,totaal_bedrijfsvestigingen,gemiddelde_stedelijkheid
Heemskerk                               ,117426.0,57506.0,59825.0,18106.0,13851.0,25522.0,35344.0,24923.0,252.575,70.05,2494.0,1475.0,27.96750000000001,186.29999999999998,7530.0,2.36734693877551
Heemstede                               ,80781.0,37946.0,42795.0,14328.0,7251.0,14509.0,23464.0,21339.0,400.0,60.94444444444444,1047.0,616.0,38.2470588235294,77.39999999999999,8580.0,2.7222222222222223
Heerde                                  ,55666.0,27416.0,28225.0,9125.0,6090.0,11488.0,16694.0,12464.0,303.64285714285717,86.52941176470588,1377.0,301.0,25.566666666666666,34.0,4120.0,4.777777777777778
Heerenveen                              ,150593.0,74657.0,75881.0,25010.0,16845.0,33873.0,43549.0,31151.0,226.43243243243242,87.34210526315789,2794.0,978.0,24.899999999999995,207.29999999999998,13350.0,4.333333333333333
Heerhugowaard                           ,164755.0,83044.0,81591.0,31021.0,19150.0,42812.0,44250.0,27907.0,211.42,79.48214285714286,3928.0,1650.0,25.222641509433963,254.89999999999995,11935.0,3.1475409836065573
Heerlen                                 ,261394.0,129740.0,131544.0,33430.0,27609.0,61610.0,80843.0,57332.0,133.95890410958904,67.23076923076923,3905.0,3779.0,23.11232876712329,869.1000000000001,15785.0,2.580246913580247
Heeze-Leende                            ,47164.0,23964.0,23255.0,6944.0,5192.0,9195.0,14880.0,10753.0,384.15384615384613,92.8125,1242.0,318.0,30.52142857142857,48.0,5045.0,4.823529411764706
Heiloo                                  ,68522.0,33869.0,34598.0,10727.0,7153.0,12052.0,20756.0,17994.0,310.2608695652174,76.96153846153847,1879.0,668.0,30.79583333333333,144.1,5860.0,3.310344827586207
Hellendoorn                             ,107267.0,53622.0,53585.0,18175.0,11940.0,23570.0,31069.0,22068.0,240.04347826086956,87.54166666666667,3517.0,1257.0,23.619565217391294,164.5,7765.0,4.183673469387755
Hellevoetsluis                          ,116077.0,57391.0,58581.0,18197.0,12491.0,27012.0,35705.0,22762.0,221.33333333333334,72.72727272727273,2859.0,1524.0,28.54651162790697,234.79999999999995,7390.0,2.8085106382978724
Helmond                                 ,271578.0,136727.0,134746.0,48068.0,31518.0,68959.0,78255.0,44583.0,212.6530612244898,77.29629629629629,3139.0,2252.0,24.140000000000004,413.6000000000001,19780.0,2.8947368421052633
Hendrik-Ido-Ambacht                     ,89156.0,43909.0,45212.0,18165.0,10234.0,22550.0,23442.0,14775.0,218.5,82.27777777777777,1225.0,530.0,27.161538461538463,49.199999999999996,6575.0,2.7222222222222223
Hengelo                                 ,242372.0,121335.0,120907.0,39490.0,28022.0,59121.0,68746.0,46358.0,189.42592592592592,76.14285714285714,3832.0,2404.0,24.518965517241377,425.70000000000005,18390.0,3.0136986301369864
het Bildt                               ,31453.0,15990.0,15448.0,5340.0,3537.0,6604.0,9476.0,6416.0,149.0625,97.3,1564.0,411.0,21.46111111111111,82.89999999999999,2620.0,4.95
Heumen                                  ,49405.0,24464.0,24931.0,7589.0,5911.0,8730.0,16263.0,11137.0,308.53333333333336,90.35,1586.0,386.0,29.637500000000003,46.800000000000004,4195.0,4.636363636363637
Heusden                                 ,130487.0,65345.0,65092.0,21144.0,15150.0,28996.0,39557.0,25515.0,288.8888888888889,86.48275862068965,2114.0,746.0,27.05555555555556,123.60000000000001,12155.0,4.172413793103448
Hillegom                                ,63896.0,31585.0,32261.0,10131.0,6644.0,15062.0,18972.0,13152.0,237.8695652173913,76.84,1669.0,812.0,26.982608695652175,102.8,5595.0,2.962962962962963
Hilvarenbeek                            ,45808.0,23066.0,22722.0,7210.0,5261.0,9072.0,14584.0,9646.0,318.1875,95.58823529411765,1352.0,317.0,27.858823529411772,48.900000000000006,5005.0,4.823529411764706
Hilversum                               ,266568.0,130741.0,135727.0,45473.0,28732.0,69738.0,72404.0,50571.0,331.3488372093023,65.33333333333333,2589.0,1842.0,32.93181818181818,305.1,29715.0,2.169811320754717
Hof van Twente                          ,105151.0,52346.0,52930.0,16446.0,11941.0,20583.0,31126.0,25470.0,255.3846153846154,88.92727272727272,3771.0,1638.0,26.47592592592592,187.50000000000003,10720.0,4.406779661016949
Hollands Kroon                          ,142925.0,72392.0,70638.0,23555.0,17028.0,30910.0,43595.0,28262.0,238.38636363636363,94.69090909090909,4325.0,1125.0,26.171428571428574,188.49999999999994,14475.0,4.894736842105263
Hoogeveen                               ,165871.0,82707.0,83114.0,28558.0,18899.0,39026.0,44855.0,33968.0,199.84615384615384,84.9,4338.0,1632.0,22.271428571428576,283.3999999999999,12100.0,4.225806451612903
Hoogezand-Sappemeer                     ,102652.0,50666.0,51931.0,15781.0,11153.0,22938.0,30190.0,22345.0,157.2173913043478,79.6078431372549,3479.0,1557.0,22.885416666666668,331.09999999999997,5840.0,3.736842105263158
Hoorn                                   ,217298.0,107049.0,110099.0,37301.0,25324.0,55303.0,60810.0,39175.0,195.15942028985506,73.48648648648648,4610.0,2662.0,25.898571428571426,463.7,17120.0,2.662921348314607
Horst aan de Maas                       ,126549.0,63780.0,62914.0,19405.0,14819.0,27079.0,39398.0,25073.0,250.5438596491228,93.09836065573771,4891.0,1179.0,24.946666666666662,192.29999999999998,10345.0,4.575757575757576
Houten                                  ,147770.0,72893.0,74762.0,30185.0,17090.0,35049.0,46832.0,19384.0,297.92452830188677,82.45762711864407,4176.0,1700.0,30.327272727272717,181.39999999999998,13320.0,3.3285714285714287
Huizen                                  ,124077.0,60171.0,63791.0,20036.0,13489.0,25186.0,39010.0,26651.0,398.0,75.36585365853658,2633.0,1452.0,37.07179487179486,214.20000000000005,12245.0,2.8636363636363638
Hulst                                   ,82075.0,40850.0,41125.0,11169.0,7937.0,16860.0,26689.0,19520.0,197.91666666666666,94.10204081632654,3815.0,1046.0,26.575555555555553,162.4,6135.0,4.849056603773585
IJsselstein                             ,102563.0,49892.0,52621.0,19069.0,12449.0,24015.0,30929.0,16446.0,253.1851851851852,70.67857142857143,1789.0,975.0,28.52857142857142,114.00000000000001,8515.0,2.40625
Kaag en Braassem                        ,79194.0,40148.0,39081.0,12807.0,9216.0,17149.0,24596.0,15641.0,273.82608695652175,86.80645161290323,2112.0,947.0,28.496153846153845,104.5,8195.0,4.575757575757576
Kampen                                  ,157501.0,78484.0,78967.0,31548.0,19650.0,39833.0,40361.0,25729.0,235.0909090909091,88.2439024390244,3080.0,982.0,22.353846153846153,136.9,12380.0,3.909090909090909
Kapelle                                 ,37847.0,18908.0,18924.0,7120.0,4238.0,8311.0,10934.0,7259.0,233.0,94.33333333333333,699.0,196.0,26.1,32.9,3310.0,4.7
Katwijk                                 ,193527.0,96278.0,97159.0,36914.0,24352.0,47975.0,51604.0,32762.0,263.71875,59.515151515151516,2100.0,1164.0,25.028125000000003,150.10000000000002,12685.0,2.275
Kerkrade                                ,137767.0,68858.0,68874.0,17194.0,12298.0,29849.0,45148.0,33118.0,130.47619047619048,66.71428571428571,1118.0,955.0,21.99047619047619,227.89999999999998,7560.0,2.6818181818181817
Koggenland                              ,67617.0,34070.0,33592.0,11531.0,8443.0,14513.0,19997.0,12833.0,259.7083333333333,87.07407407407408,2169.0,504.0,26.63333333333333,82.69999999999999,6900.0,4.814814814814815
Kollumerland en Nieuwkruisland          ,38597.0,19750.0,18817.0,6820.0,4606.0,8652.0,11202.0,7217.0,179.11111111111111,95.44,1896.0,581.0,20.965000000000003,93.39999999999999,3275.0,4.92
Korendijk                               ,32834.0,16329.0,16465.0,5666.0,3821.0,6678.0,10022.0,6692.0,249.3125,94.15,1594.0,401.0,28.80555555555556,37.0,2920.0,5.0
Krimpen aan den IJssel                  ,87353.0,42309.0,45024.0,15459.0,10275.0,17844.0,23428.0,20362.0,224.125,72.25,495.0,296.0,26.387500000000003,40.0,6280.0,2.125
Krimpenerwaard                          ,165764.0,82092.0,83882.0,28368.0,21113.0,35903.0,47419.0,33611.0,282.3833333333333,84.73684210526316,5578.0,1981.0,28.024615384615384,224.1,15850.0,4.283950617283951
Laarbeek                                ,65857.0,33389.0,32503.0,10452.0,7317.0,14020.0,19942.0,13881.0,290.53333333333336,88.88235294117646,1273.0,409.0,25.505882352941175,71.19999999999999,6040.0,4.65
Landerd                                 ,46037.0,23500.0,22567.0,7443.0,5649.0,9198.0,14224.0,9308.0,324.06666666666666,92.70588235294117,1377.0,302.0,25.570588235294114,54.6,4675.0,4.833333333333333
Landgraaf                               ,112308.0,55270.0,56998.0,14361.0,11027.0,23354.0,37174.0,26302.0,162.64285714285714,79.20689655172414,1844.0,1031.0,24.36785714285715,204.99999999999994,5885.0,2.806451612903226
Landsmeer                               ,33810.0,16297.0,17498.0,5704.0,3672.0,7187.0,10473.0,6834.0,369.5,88.2,703.0,289.0,32.41,36.599999999999994,3930.0,3.9
Langedijk                               ,82808.0,41114.0,41679.0,14445.0,10050.0,18090.0,24633.0,15635.0,258.55555555555554,87.55555555555556,692.0,203.0,25.7,44.300000000000004,7185.0,4.0
Lansingerland                           ,180475.0,89733.0,90877.0,39300.0,19840.0,44333.0,50238.0,25864.0,289.5483870967742,85.52307692307693,4798.0,1643.0,31.375806451612902,215.0999999999999,17675.0,3.3684210526315788
Laren                                   ,33238.0,15653.0,17575.0,5306.0,2871.0,5037.0,9833.0,10256.0,739.3636363636364,83.36363636363636,772.0,307.0,51.78181818181818,65.5,5435.0,3.75
Leek                                    ,58903.0,29039.0,29819.0,9763.0,6526.0,12178.0,17788.0,12493.0,228.43478260869566,95.1875,2616.0,581.0,25.88076923076923,87.5,5080.0,4.696969696969697
Leerdam                                 ,62700.0,30809.0,31881.0,10859.0,7675.0,14899.0,17117.0,12165.0,236.88888888888889,74.11111111111111,556.0,337.0,24.72222222222222,46.699999999999996,4645.0,3.4444444444444446
Leeuwarden                              ,325877.0,161356.0,164361.0,49509.0,50508.0,85295.0,83885.0,55820.0,144.58823529411765,67.2991452991453,6312.0,5247.0,22.58899082568807,1234.0,24660.0,2.900709219858156
Leeuwarderadeel                         ,30313.0,15101.0,15182.0,4726.0,3418.0,5979.0,9396.0,6669.0,171.3,97.42857142857143,1114.0,276.0,23.8,50.50000000000001,2155.0,4.8125
Leiden                                  ,370846.0,180072.0,190629.0,50569.0,67132.0,109040.0,90897.0,53318.0,240.66666666666666,46.12698412698413,3002.0,3218.0,27.91746031746033,545.8000000000003,28085.0,1.353846153846154
Leiderdorp                              ,81353.0,39384.0,41929.0,13359.0,9325.0,16924.0,24162.0,17628.0,246.78947368421052,57.95,1193.0,703.0,28.684999999999995,125.09999999999997,5810.0,1.85
Leidschendam-Voorburg                   ,223894.0,107518.0,116426.0,36487.0,21157.0,53826.0,62265.0,50514.0,274.0731707317073,47.642857142857146,2556.0,1613.0,31.517073170731702,246.8,17245.0,1.8333333333333333
Lelystad                                ,231057.0,115940.0,115427.0,43103.0,26100.0,59383.0,63700.0,37226.0,184.1573033707865,77.3716814159292,7117.0,4104.0,25.34375,734.9,18330.0,3.7109826589595376
Leudal                                  ,107738.0,54747.0,53101.0,14641.0,12167.0,21297.0,34755.0,24298.0,230.0,90.625,3847.0,862.0,25.778260869565216,185.79999999999998,8990.0,4.918367346938775
Leusden                                 ,88952.0,43709.0,45183.0,15390.0,9841.0,18494.0,27760.0,17877.0,300.34285714285716,84.8,2482.0,992.0,29.365714285714283,136.9,8565.0,3.1714285714285713
Lingewaal                               ,33438.0,16691.0,16732.0,5765.0,3910.0,7168.0,10295.0,6245.0,280.3125,91.375,1134.0,457.0,26.825000000000003,52.300000000000004,3255.0,4.823529411764706
Lingewaard                              ,138602.0,68753.0,69909.0,23473.0,15088.0,29655.0,42852.0,27189.0,273.25,86.29629629629629,2075.0,597.0,27.015384615384615,94.5,10420.0,4.333333333333333
Lisse                                   ,68077.0,33448.0,34529.0,10877.0,7559.0,15163.0,19996.0,14562.0,272.48571428571427,75.79069767441861,2936.0,1350.0,28.08648648648649,145.0,6110.0,3.0697674418604652
Littenseradiel                          ,32186.0,16450.0,15711.0,5751.0,3749.0,6531.0,9820.0,5910.0,189.875,97.5813953488372,3587.0,668.0,23.475757575757573,88.30000000000001,3410.0,5.0
Lochem                                  ,100600.0,49669.0,50871.0,14968.0,10194.0,17470.0,31514.0,26914.0,326.225,84.09302325581395,3195.0,1036.0,28.758536585365846,190.3,10430.0,4.627906976744186
Loon op Zand                            ,69208.0,34296.0,34817.0,10586.0,7698.0,14865.0,21234.0,14720.0,266.59375,83.48571428571428,2329.0,1160.0,26.403030303030306,137.8,6190.0,3.5675675675675675
Lopik                                   ,42593.0,21554.0,21004.0,7683.0,5965.0,9171.0,13115.0,6829.0,317.2142857142857,90.8125,1243.0,344.0,26.893749999999997,63.199999999999996,4635.0,4.9375
Loppersum                               ,29709.0,15046.0,14643.0,4799.0,3182.0,5806.0,9672.0,6140.0,152.77272727272728,96.70370370370371,2032.0,634.0,23.916666666666668,113.79999999999998,2575.0,5.0
Losser                                  ,67432.0,33912.0,33480.0,10568.0,7335.0,13704.0,20733.0,14942.0,239.22222222222223,84.57894736842105,1420.0,439.0,24.083333333333332,76.2,5075.0,4.631578947368421
Maasdriel                               ,72725.0,36880.0,35830.0,12240.0,8235.0,16521.0,22780.0,13269.0,286.5833333333333,95.06666666666666,2278.0,690.0,26.167857142857144,84.0,9135.0,4.866666666666666
Maasgouw                                ,71284.0,35820.0,35519.0,8637.0,7182.0,13730.0,23821.0,17584.0,212.23809523809524,90.79166666666667,1826.0,545.0,26.545454545454547,77.7,6145.0,4.92
Maassluis                               ,97290.0,47702.0,49533.0,15506.0,10438.0,23098.0,26622.0,21701.0,204.3913043478261,55.370370370370374,1459.0,1189.0,26.442307692307693,171.6,6200.0,2.2142857142857144
Maastricht                              ,368138.0,176760.0,191293.0,39609.0,70347.0,86646.0,96064.0,75047.0,205.89361702127658,57.76,2148.0,2675.0,25.753191489361704,469.50000000000006,27110.0,2.2884615384615383
Marum                                   ,31148.0,16079.0,15054.0,4997.0,3900.0,6677.0,9912.0,5587.0,253.875,96.83333333333333,1477.0,317.0,24.394117647058817,39.3,2745.0,4.944444444444445
Medemblik                               ,132088.0,67182.0,64816.0,22568.0,15290.0,29113.0,39487.0,25915.0,245.95454545454547,92.0909090909091,3285.0,1085.0,25.697727272727267,191.69999999999996,13545.0,4.622222222222222
Meerssen                                ,57177.0,28163.0,28984.0,7567.0,5770.0,10697.0,18542.0,14446.0,248.8,88.0,1374.0,408.0,29.900000000000006,47.2,4420.0,4.666666666666667
Meierijstad                             ,239774.0,120335.0,119649.0,38919.0,27775.0,54886.0,72037.0,46477.0,299.71264367816093,87.51578947368421,7330.0,2069.0,26.787777777777773,295.3999999999999,23335.0,3.9693877551020407
Menameradiel                            ,40409.0,20739.0,19715.0,7030.0,4539.0,8229.0,12612.0,8189.0,179.77777777777777,96.91666666666667,1895.0,505.0,23.542857142857137,70.49999999999999,3175.0,5.0
Menterwolde                             ,36527.0,18586.0,17991.0,5446.0,4060.0,7662.0,12264.0,7155.0,158.14285714285714,96.0909090909091,1671.0,511.0,23.847058823529412,69.89999999999999,2585.0,4.909090909090909
Meppel                                  ,90310.0,43967.0,46303.0,15463.0,9912.0,22055.0,25606.0,17004.0,181.82758620689654,78.2258064516129,1882.0,1147.0,23.49310344827586,212.5,6185.0,3.090909090909091
Nederland                               ,17081507.0,8475102.0,8606405.0,2781768.0,2101648.0,4214276.0,4824155.0,3159660.0,216.0,64.0,56.0,43.0,25.7,7.9,1508540.0,2.0
Ten Boer                                ,21858.0,10807.0,11031.0,3960.0,2479.0,4569.0,6540.0,4260.0,178.0,97.53333333333333,1245.0,250.0,24.736363636363635,50.7,1730.0,4.933333333333334
